Date_Time,Date,Time,Coal,Gas,Hydro,Nuclear,Other,Wind,Total,Renewable,NonRenewable,Fossil_Fuel,Clean,Pct_Renew,Pct_Clean,Total_Carbon,Carbon_per_MWh,Carbon_per_kWh
2016-10-31T01:00:00Z,2016-10-31,01:00:00,8106.3,1344.8,238.8,2457.9,170.3,845.5,13163.599999999999,1254.6,11909,9451.1,3712.5,9.530827433224955,28.2027712783737,8333707.46,633.0872603239236,0.6330872603239236
2016-10-31T02:00:00Z,2016-10-31,02:00:00,7857.1,1359,238.8,2457.9,162.8,746.9,12822.499999999998,1148.5,11674,9216.1,3606.4,8.956911678689803,28.125560538116595,8100099.660000001,631.7098584519401,0.6317098584519402
2016-10-31T03:00:00Z,2016-10-31,03:00:00,7907.2,1443.8,238.8,2457.9,166.2,740.3,12954.199999999999,1145.3,11808.9,9351,3603.2,8.841148044649612,27.81491716972102,8182705.4,631.6642787667321,0.631664278766732
2016-10-31T04:00:00Z,2016-10-31,04:00:00,7802.2,1408.6,238.8,2457.9,164.5,802.6,12874.599999999999,1205.9,11668.699999999999,9210.8,3663.8,9.366504590433879,28.457583148214315,8067530.08,626.6237459804577,0.6266237459804577
2016-10-31T05:00:00Z,2016-10-31,05:00:00,8160.3,1472.9,238.8,2457.9,177.7,908.2,13415.800000000001,1324.7,12091.1,9633.2,3782.6000000000004,9.874178207784851,28.1951132247052,8437665.32,628.9349364182531,0.628934936418253
2016-10-31T06:00:00Z,2016-10-31,06:00:00,8453.7,1605.7,238.8,2457.9,195.8,1036.9,13988.8,1471.5,12517.300000000001,10059.400000000001,3929.4,10.519129589385795,28.08961454878188,8773501.84,627.1804472149148,0.6271804472149148
2016-10-31T07:00:00Z,2016-10-31,07:00:00,8502.2,2087.2,249.8,2458.9,199.6,1140.1,14637.800000000001,1589.5,13048.300000000001,10589.400000000001,4048.4,10.858872234898687,27.6571615953217,9015868.840000002,615.9305933951824,0.6159305933951824
2016-10-31T08:00:00Z,2016-10-31,08:00:00,8498.2,1975.7,279.8,2458.9,199.60000000000002,1123.1,14535.300000000001,1602.5,12932.800000000001,10473.900000000001,4061.4,11.024884247315155,27.94163175166663,8966690.540000001,616.8906414040302,0.6168906414040303
2016-10-31T09:00:00Z,2016-10-31,09:00:00,8494.2,2086.2,279.8,2457.9,212.10000000000002,1082.3,14612.5,1574.2,13038.300000000001,10580.400000000001,4032.1000000000004,10.772968349016253,27.59349871685201,9007777.440000001,616.4432807527802,0.6164432807527802
2016-10-31T10:00:00Z,2016-10-31,10:00:00,8494.2,2074.1,279.8,2457.9,280.1,916.7,14502.800000000001,1476.6000000000001,13026.2,10568.300000000001,3934.5,10.181482196541358,27.129244008053615,9002857.58,620.7668574344265,0.6207668574344265
2016-10-31T11:00:00Z,2016-10-31,11:00:00,8494.2,1994.5,279.8,2457.9,316.5,825.9,14368.8,1422.1999999999998,12946.6,10488.7,3880.1,9.897834196314236,27.003646790267805,8970492.22,624.303506207895,0.624303506207895
